Date,Category,Demand,Units Sold,Units Ordered,Inventory Level,Price,Discount,Competitor Pricing,month,dayofweek,lag_7,lag_14,log_Demand,log_Price,log_Discount,log_Inventory Level,log_Units Sold,log_Units Ordered,log_Competitor Pricing,log_lag_7,log_lag_14,OLS_Prediction,Bayesian_Prediction,Actual_Demand
2022-01-15,Clothing,2184.0,1820.0,2232.0,341.9375,74.995625,9.0625,76.69500000000001,1.0,5.0,2339.0,1844.0,7.68937110752969,4.330675772839884,2.3088156427446815,5.837548214819194,7.507141079727608,7.711101251840158,4.352790905238698,7.757906208351747,7.520234556474628,2153.1948745509703,2153.262213755083,2184.0
2022-01-15,Electronics,1402.0,1068.0,1525.0,377.3333333333333,85.93083333333334,10.416666666666666,87.62166666666667,1.0,5.0,1333.0,1194.0,7.246368080102461,4.465112783302167,2.4350742760401247,5.935775641247393,6.974478911025045,7.330405211844402,4.4843763724853405,7.195937226475569,7.085901464365611,1260.0821179562024,1260.1697806895422,1402.0000000000002
2022-01-15,Toys,1672.0,1439.0,1146.0,343.0,28.417857142857144,12.5,28.955000000000002,1.0,5.0,1563.0,1283.0,7.422373700986824,3.381601875771999,2.6026896854443837,5.840641657373398,7.272398392570047,7.044905117129371,3.3996962555358885,7.355001921105257,7.157735484249907,1687.0514993582733,1687.0167722814645,1671.9999999999993
2022-01-15,Groceries,4628.0,3862.0,2042.0,368.475,51.067750000000004,7.875,52.946000000000005,1.0,5.0,5147.0,4480.0,8.44009614103127,3.952545755179151,2.1832383353614797,5.912083079100636,8.259199362666282,7.622174594817622,3.9879835462306907,8.546363568716018,8.407601514786142,4498.351323410486,4498.211029330655,4628.000000000001
2022-01-15,Furniture,1550.0,1377.0,1329.0,333.55555555555554,126.25888888888888,9.722222222222221,132.82944444444445,1.0,5.0,1678.0,1259.0,7.346655163176539,4.846223506734697,2.3723184310087206,5.812802951145515,7.228388451573604,7.1929342212158,4.896566186596233,7.425953657077541,7.138866999945524,1609.9638237501288,1610.0461303235777,1550.0000000000005
2022-01-16,Clothing,1897.0,1596.0,1108.0,312.125,72.1775,10.625,73.199375,1.0,6.0,2179.0,2348.0,7.5485559791698735,4.292887996668077,2.45315795147342,5.746602471839129,7.3758821482150125,7.011213987350367,4.306755726957267,7.687080155783135,7.761744984658913,1866.8692626387478,1866.870724946692,1897.0000000000007
2022-01-16,Furniture,1348.0,1191.0,757.0,327.6111111111111,123.84888888888888,8.88888888888889,123.29388888888889,1.0,6.0,1586.0,1419.0,7.207118856207756,4.82710411711781,2.2914117923959205,5.794875018516322,7.083387847625295,6.630683385642372,4.82264883309961,7.369600720526409,7.258412150595307,1382.0955467854037,1382.0556227387417,1347.9999999999998
2022-01-16,Toys,1450.0,1304.0,1107.0,288.2857142857143,28.309285714285714,10.0,28.375714285714285,1.0,6.0,1700.0,1159.0,7.280008252884188,3.3779043843912415,2.3978952727983707,5.667414830485326,7.173958319756794,7.010311867307229,3.3801682882781137,7.438971592395862,7.05617528410041,1542.5581431824487,1542.5263498661072,1450.0
2022-01-16,Electronics,1138.0,845.0,1611.0,365.8333333333333,83.3775,7.083333333333333,85.80916666666667,1.0,6.0,1181.0,1301.0,7.037905963447182,4.435300778383374,2.0898043287153825,5.904907612298406,6.740519359606223,7.385230923066573,4.463712222849136,7.074963197966044,7.171656822768514,1001.0674789819607,1001.206390347537,1137.9999999999998
2022-01-16,Groceries,4796.0,4282.0,1558.0,394.475,50.838,9.375,54.475,1.0,6.0,4781.0,4587.0,8.475746001502063,3.948123471052869,2.339399066116762,5.980087574084643,8.36240897761537,7.351799869057777,4.015932468818658,8.47261414801827,8.431199478249262,4918.750570030965,4918.5429262432535,4795.999999999997
